accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SRR6369580	SRP076124	new	PRJNA324125	SAMN08161591	CAR-02-2	Targeted-Capture of H. impetiginosus: CAR-02	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	CAR-02-2.fastq.gz
SRR6369579	SRP076124	new	PRJNA324125	SAMN08161592	CAR-05-2	Targeted-Capture of H. impetiginosus: CAR-05	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	CAR-05-2.fastq.gz
SRR6369578	SRP076124	new	PRJNA324125	SAMN08161593	MOC-02-2	Targeted-Capture of H. impetiginosus: MOC-02	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-02-2.fastq.gz
SRR6369577	SRP076124	new	PRJNA324125	SAMN08161594	MOC-03-2	Targeted-Capture of H. impetiginosus: MOC-03	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-03-2.fastq.gz
SRR6369576	SRP076124	new	PRJNA324125	SAMN08161595	MOC-04-2	Targeted-Capture of H. impetiginosus: MOC-04	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-04-2.fastq.gz
SRR6369575	SRP076124	new	PRJNA324125	SAMN08161596	MOC-05-2	Targeted-Capture of H. impetiginosus: MOC-05	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-05-2.fastq.gz
SRR6369574	SRP076124	new	PRJNA324125	SAMN08161597	MOC-06-2	Targeted-Capture of H. impetiginosus: MOC-06	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-06-2.fastq.gz
SRR6369573	SRP076124	new	PRJNA324125	SAMN08161598	MOC-07-2	Targeted-Capture of H. impetiginosus: MOC-07	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-07-2.fastq.gz
SRR6369582	SRP076124	new	PRJNA324125	SAMN08161599	MOC-08-2	Targeted-Capture of H. impetiginosus: MOC-08	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-08-2.fastq.gz
SRR6369581	SRP076124	new	PRJNA324125	SAMN08161600	MOC-09-2	Targeted-Capture of H. impetiginosus: MOC-09	Targeted-Capture	GENOMIC	other	single	ILLUMINA	Illumina HiSeq 2000	DNA sample of  H. impetiginosus individual was extracted using the Qiagen DNeasy Plant Min kit (Qiagen, DK). DNA sample was used as input for the Capture-Seq (Rapid Genomics LLC, Gainesville, FL, USA) custom targeted sequencing method toward sequence characterization, SNP discovery and genotyping. After library preparation and multiplexing using individual barcodes, single-end sequencing, 1x100 nt, was performed in a single lane of an Illumina Hiseq 2000 instrument.	fastq	MOC-09-2.fastq.gz
